subject_class,scid
005C10,1
00A05,2
00A08,3
03E10,4
03E75,5
03G27,6
05A05,7
05A10,8
05A15,9
05A16,10
05A17,11
05A18,12
05A19,13
05A20,14
05A99,15
05B05,16
05B07,17
05B10,18
05B15,19
05B20,20
05B25,21
05B30,22
05B35,23
05B40,24
05B45,25
05B50,26
05C05,27
05C07,28
05C10,29
05C12,30
05C15,31
05C19,32
05C20,33
05C21,34
05C22,35
05C25,36
05C30,37
05C31,38
05C35,39
05C38,40
05C40,41
05C42,42
05C45,43
05C50,44
05C51,45
05C55,46
05C57,47
05C60,48
05C62,49
05C620,50
05C63,51
05C65,52
05C69,53
05C70,54
05C75,55
05C76,56
05C78,57
05C80,58
05C81,59
05C82,60
05C83,61
05C85,62
05C90,63
05C99,64
05Cxx,65
05D05,66
05D10,67
05D15,68
05D40,69
05E05,70
05E10,71
05E15,72
05E18,73
05E20,74
05E30,75
05E99,76
05Exx,77
06A06,78
06A07,79
06D22,80
06D99,81
06F35,82
08B20,83
0E20,84
0E99,85
11A25,86
11B30,87
11B37,88
11B39,89
11B65,90
11B68,91
11B73,92
11B75,93
11B99,94
11C20,95
11E25,96
11G32,97
11P83,98
11R04,99
11R06,100
11T06,101
11Y50,102
12E20,103
13A05,104
13A50,105
13J05,106
13J10,107
13J30,108
14C20,109
14E05,110
14H30,111
14H37,112
14H45,113
14H57,114
14M12,115
14M15,116
14M27,117
14N20,118
14Q05,119
15A04,120
15A09,121
15A15,122
15A18,123
15A21,124
15A27,125
15A30,126
15A33,127
15A45,128
15A69,129
15B36,130
16T05,131
16W70,132
16W80,133
16Y60,134
17B37,135
17B69,136
18A10,137
20B05,138
20B10,139
20B15,140
20B20,141
20B25,142
20B27,143
20B30,144
20B35,145
20B40,146
20C15,147
20C34,148
20C99,149
20D05,150
20D06,151
20D08,152
20D10,153
20D15,154
20D20,155
20E06,156
20E08,157
20E15,158
20E25,159
20E32,160
20E34,161
20F05,162
20F12,163
20F28,164
20F34,165
20F35,166
20F38,167
20F55,168
20F65,169
20G05,170
20G40,171
20G99,172
20H05,173
20H10,174
20H15,175
20J99,176
20K01,177
20K27,178
20K35,179
20M05,180
20M13,181
20M14,182
20M15,183
20N05,184
20P05,185
28A35,186
30F10,187
30F20,188
30F30,189
30F35,190
30F50,191
30G35,192
30M60,193
32S22,194
33C15,195
33D45,196
33E20,197
39A10,198
40A05,199
42A16,200
42C05,201
47A15,202
47N70,203
49N75,204
51A10,205
51A15,206
51A20,207
51A45,208
51D20,209
51E05,210
51E10,211
51E12,212
51E20,213
51E22,214
51E23,215
51E24,216
51E26,217
51E30,218
51Exx,219
51M04,220
51M09,221
51M16,222
51M20,223
52A01,224
52A10,225
52A21,226
52A38,227
52A40,228
52B05,229
52B10,230
52B11,231
52B12,232
52B15,233
52B20,234
52B60,235
52B70,236
52C07,237
52C17,238
52C20,239
52C22,240
52C25,241
52C30,242
52C35,243
52C40,244
52C99,245
53A04,246
53A15,247
53A40,248
53C22,249
53C45,250
54A10,251
54E15,252
54E35,253
55R10,254
57M10,255
57M12,256
57M15,257
57M20,258
57M25,259
57M27,260
57M60,261
57Q45,262
57R18,263
57S25,264
58B10,265
58D19,266
58J53,267
58K05,268
5C10,269
5C25,270
60C05,271
60G40,272
60G51,273
60J25,274
60J27,275
60J55,276
60J60,277
60J65,278
62K10,279
62M10,280
62P20,281
65F15,282
68M10,283
68M15,284
68P10,285
68Q17,286
68R01,287
68R05,288
68R10,289
68T35,290
68T45,291
68W05,292
68W25,293
70C20,294
74E40,295
81R99,296
82B20,297
82B44,298
82D30,299
90B10,300
90B40,301
90B80,302
90C22,303
90C27,304
90C90,305
91A24,306
91A43,307
91A60,308
91B30,309
91B84,310
91C20,311
91D30,312
91G70,313
92E10,314
94B05,315
94B65,316
94C12,317
94C15,318
97K80,319
NA,320
